"_class",_id,balconySize,city,link,location,price,priceRatio,roomNr,size,street
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674754a,0.0,VI. kerület,https://ingatlan.com/vi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+6+kerulet+zichy+jeno+utca/23148561,"Zichy Jenő utca, VI. kerület",240000.0,2526.315789473684,3 szoba,95.0,Zichy Jenő utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674754b,0.0,V. kerület,https://ingatlan.com/v-ker/kiado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+ferenciek+tere/30209879,"Ferenciek tere, V. kerület",170000.0,3148.1481481481483,1 szoba,54.0,Ferenciek tere
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674754c,0.0,VI. kerület,https://ingatlan.com/vi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+6+kerulet+sziv+utca/30968257,"Szív utca, VI. kerület",160000.0,3555.5555555555557,2 szoba,45.0,Szív utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674754d,0.0,IX. kerület,https://ingatlan.com/ix-ker/kiado+lakas/szoba/budapest+9+kerulet+ferenc+korut/30972949,"Ferenc körút, IX. kerület",65000.0,4333.333333333333,1 szoba,15.0,Ferenc körút
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674754e,0.0,II. kerület,https://ingatlan.com/ii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+ruthen+ut/30884383,"Ruthén út, II. kerület",190000.0,3800.0,2 szoba,50.0,Ruthén út
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674754f,0.0,XI. kerület,https://ingatlan.com/xi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+bartok+bela+ut/30767965,"Bartók Béla út, XI. kerület",180000.0,2727.2727272727275,2 szoba,66.0,Bartók Béla út
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747550,3.0,VII. kerület,https://ingatlan.com/vii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+7+kerulet+hevesi+sandor+ter/25917596,"Hevesi Sándor tér, VII. kerület",230000.0,2628.5714285714284,2 szoba,86.0,Hevesi Sándor tér
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747551,6.0,VI. kerület,https://ingatlan.com/vi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+6+kerulet+jokai+ter/22919637,"Jókai tér, VI. kerület",216990.0,2214.183673469388,2 + 1 fél szoba,95.0,Jókai tér
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747552,0.0,VIII. kerület,https://ingatlan.com/viii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+8+kerulet+jozsef+korut/30979900,"József körút, VIII. kerület",119000.0,3718.75,1 szoba,32.0,József körút
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747553,4.0,II. kerület,https://ingatlan.com/ii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+rozsahegy+utca/30357182,"Rózsahegy utca, II. kerület",169000.0,3840.909090909091,2 szoba,42.0,Rózsahegy utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747554,0.0,VII. kerület,https://ingatlan.com/vii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+7+kerulet+karoly+korut/30863461,"Károly körút, VII. kerület",290000.0,2521.7391304347825,3 szoba,115.0,Károly körút
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747555,20.0,V. kerület,https://ingatlan.com/v-ker/kiado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+ferenciek+tere/30625048,"Ferenciek tere, V. kerület",1168405.0,4909.264705882353,4 szoba,228.0,Ferenciek tere
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747556,20.0,V. kerület,https://ingatlan.com/v-ker/kiado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+ferenciek+tere/30696688,"Ferenciek tere, V. kerület",1168405.0,4909.264705882353,4 szoba,228.0,Ferenciek tere
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747557,0.0,IX. kerület,https://ingatlan.com/ix-ker/kiado+lakas/tegla-epitesu-lakas/budapest+9+kerulet+lonyay+utca/30624994,"Lónyay utca, IX. kerület",165000.0,2357.1428571428573,2 szoba,70.0,Lónyay utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747558,0.0,III. kerület,https://ingatlan.com/iii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+3+kerulet+lajos+utca+93-99/30435187,"Lajos utca 93-99, III. kerület",333830.0,4701.830985915493,3 szoba,71.0,Lajos utca 93-99
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747559,0.0,VIII. kerület,https://ingatlan.com/viii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+8+kerulet+maria+utca/30965017,"Mária utca, VIII. kerület",126855.0,6342.75,1 szoba,20.0,Mária utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674755a,0.0,V. kerület,https://ingatlan.com/v-ker/kiado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+hercegprimas+utca/29918066,"Hercegprímás utca, V. kerület",617586.0,6175.86,3 szoba,100.0,Hercegprímás utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674755b,0.0,V. kerület,https://ingatlan.com/v-ker/kiado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+belgrad+rakpart/27183869,"Belgrád rakpart, V. kerület",1068256.0,6804.178343949045,4 szoba,157.0,Belgrád rakpart
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674755c,16.0,II. kerület,https://ingatlan.com/ii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+bimbo+ut+48-50/30604186,"Bimbó út 48.-50., II. kerület",417288.0,4051.339805825243,4 szoba,95.0,Bimbó út 48.-50.
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674755d,70.0,IX. kerület,https://ingatlan.com/ix-ker/kiado+lakas/tegla-epitesu-lakas/budapest+9+kerulet+haller+utca/30798931,"Haller utca, IX. kerület",219000.0,2433.3333333333335,2 szoba,55.0,Haller utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674755e,0.0,VI. kerület,https://ingatlan.com/vi-ker/kiado+lakas/tegla-epitesu-lakas/budapest+6+kerulet+lovag+utca/30887965,"Lovag utca, VI. kerület",220000.0,4400.0,2 + 1 fél szoba,50.0,Lovag utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f674755f,0.0,VII. kerület,https://ingatlan.com/vii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+7+kerulet+osvat+utca/30861649,"Osvát utca, VII. kerület",198576.0,4412.8,2 szoba,45.0,Osvát utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747560,11.0,II. kerület,https://ingatlan.com/ii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+2+kerulet+gabor+aron+utca/30668785,"Gábor Áron utca, II. kerület",280000.0,2962.962962962963,3 szoba,89.0,Gábor Áron utca
com.invest.demo.entities.PropertyForRent,5e2ad28f8eb7f903f6747561,0.0,VIII. kerület,https://ingatlan.com/viii-ker/kiado+lakas/tegla-epitesu-lakas/budapest+8+kerulet+maria+utca/30966217,"Mária utca, VIII. kerület",145216.0,5585.2307692307695,1 szoba,26.0,Mária utca
